idElemento,idElementoRef
PR-CU1,RN-VA-N01
AS-CU1,RN-MON-N01
AS-CU3.2,RN-MON-N01
AS-CU3.2,RN-MON-N01
AS-CU1,RN-MON-N02
AS-CU1,RN-MON-N03
AS-CU2,RN-MON-N03
AS-CU3.2,RN-MON-N03
AS-CU3.2,RN-MON-N03
AS-CU1,RN-MON-N04
AS-CU2.1,RN-MON-N04
AS-CU3.2,RN-MON-N04
AS-CU3.2,RN-MON-N04
AS-CU1,RN-MON-N05
AS-CU2,RN-MON-N05
AS-CU2.1,RN-MON-N05
AS-CU3.2,RN-MON-N05
AS-CU3.2,RN-MON-N05
GV-CU1,RN-MON-N06
CD-CU1,RN-MON-N07
CD-CU1,RN-MON-N07
GV-CU1,RN-MON-N07
GH-CU1,RN-MON-N08
GV-CU1,RN-MON-N09
GV-CU1,RN-MON-N10
AS-CU1,RN-MON-N11
AS-CU1,RN-MON-N12
AS-CU1,RN-MON-N13
AS-CU3.2,RN-MON-N13
AS-CU3.2,RN-MON-N13
AS-CU2,RN-MON-N14
CM-CU1,CM-CU1.1
CM-CU1,CM-CU1.2
CM-CU1,CM-CU1.3
CM-CU1,CM-CU1.4
CM-CU1,CM-CU1.5
CM-CU1,CM-CU1.6
CM-CU1,CM-CU1.7
AS-CU1,AS-CU2.1
AS-CU1,MSG1
AS-CU1,MSG1
AS-CU2.1,MSG1
AS-CU2.1,MSG1
AS-CU2.1,MSG1
AS-CU3.2,MSG1
AS-CU3.2,MSG1
AS-CU1,MSG2
GH-CU1,MSG3
AS-CU1,MSG5
AS-CU1,MSG5
AS-CU1,MSG6
AS-CU1,MSG6
AS-CU2,MSG6
AS-CU2,MSG6
AS-CU2.1,MSG6
AS-CU2.1,MSG6
AS-CU3.2,MSG6
AS-CU3.2,MSG6
AS-CU1,MSG7
AS-CU1,MSG7
AS-CU1,MSG8
AS-CU1,MSG8
AS-CU2,MSG8
AS-CU2,MSG8
AS-CU3.2,MSG8
AS-CU3.2,MSG8
AS-CU1,MSG9
AS-CU1,MSG9
AS-CU2.1,MSG9
AS-CU2.1,MSG9
AS-CU3.2,MSG9
AS-CU3.2,MSG9
AS-CU1,MSG10
AS-CU1,MSG10
AS-CU2,MSG10
AS-CU2,MSG10
AS-CU2.1,MSG10
AS-CU2.1,MSG10
AS-CU2.1,MSG10
AS-CU3.2,MSG10
AS-CU3.2,MSG10
AS-CU3.2,MSG10
AS-CU3.2,MSG10
AS-CU2,MSG11
AS-CU2,MSG11
AS-CU1,MSG15
AS-CU1,MSG15
AS-CU2.1,MSG15
AS-CU3.2,MSG15
AS-CU3.2,MSG15
